Глубина	P		Beta		Temp		In		Out
0.000	71737.789	0.794		-999.250	-999.250	-999.250
0.100	71739.070	215.274		0.000	-999.250			-999.250
0.200	71741.063	262.183		0.000	-999.250	-999.250
0.300	71742.234	241.680		5.625	-999.250	-999.250
0.400	71743.984	251.971		22.500	-999.250	-999.250
0.500	71745.125	251.596		45.000	-999.250	-999.250
0.600	71746.133	313.425		67.500	-999.250	-999.250
0.700	71747.102	384.370		67.500	-999.250	-999.250
0.800	71747.414	345.999		90.000	-999.250	-999.250
0.900	71752.484	152.348		93.750	-999.250	-999.250
1.000	71752.844	146.358		90.000	-999.250	-999.250
1.100	71753.188	352.046		40.645	-999.250	-999.250
1.200	71753.625	523.122		22.500	71.117		-999.250
1.300	71753.859	697.741		22.500	71.157		15.283
1.400	71754.125	874.222		33.750	71.078		15.283
1.500	71754.406	1054.149	45.000	71.223		15.478
1.600	71754.672	1173.759	45.000	71.207		15.659
1.700	71754.875	1209.589	45.000	71.026		15.841
1.800	71755.141	1249.165	56.250	71.185		16.045
1.900	71755.445	1340.944	67.500	71.298		16.197
2.000	71755.648	1384.613	67.500	71.299		16.261
2.100	71756.039	1387.631	67.500	71.187		16.286
2.200	71756.273	1338.767	67.500	71.134		16.298
